predict;correct;FullValType;LevensteinValType
00Cwp;00cWp;0;0.6
OA039;0AO39;0;0.6
00k;00C3k;0;0.75
0c125;0C7Z5;0;0.4
0At8;0AtK8;0;0.89
0C96;0C967;0;0.89
OBSI0jj;0BS0j;0;0.67
006;00GCL;0;0.5
013;0B7la;0;0.25
00660;00b6D;0;0.6
049k;00h9K;0;0.44
00f05;00fm5;0;0.8
08e5;0C8e5;0;0.89
0Q1;0C21J;0;0.5
06125;0C132;0;0.6
Q5;0A563;0;0.29
0a34k;0Ay4K;0;0.4
00HGr;00H6r;0;0.8
OB;0B451;0;0.29
QAC60;0AC60;0;0.8
0AttM;0A1tM;0;0.8
0C50E;0C5oE;0;0.8
02S;0B23s;0;0.5
00E;00EOB;0;0.75
0Ans6;0AN36;0;0.6
00074;00D74;0;0.8
0A0o;0A0z9;0;0.67
OBEG;0BEGc;0;0.67
0B68v9;0Bb83;0;0.55
Q0681;00G87;0;0.4
0BtJj;0BtJj;1;1.0
BaV;0Bfav;0;0.5
0evht;0B0nY;0;0.2
0;0C68u;0;0.33
8ALSx;0Ar6x;0;0.4
0;0B3nb;0;0.33
01v8;0B778;0;0.44
QAldl;0AZdT;0;0.4
04367;0A36L;0;0.6
0AIo6;0AI06;0;0.8
0aC2;0AQrz;0;0.22
00p0;00Bp0;0;0.89
0Q8;0CL13;0;0.25
0498X;0A98x;0;0.6
00H7e;00H7e;1;1.0
0B71;0B7T1;0;0.89
0AK27;0Ak27;0;0.8
08387;00aB7;0;0.4
00bzj;00Bzj;0;0.8
C819;0C879;0;0.67
00f02;00fo2;0;0.8
0OCA;00dcH;0;0.22
068;0Bef8;0;0.5
0E;0C587;0;0.29
08434;0B43u;0;0.6
WBW;00Bcw;0;0.25
0N22;0A722;0;0.67
0fXTa;0AJ41;0;0.2
0og51;00G51;0;0.6
0Ad9;0Ad9z;0;0.89
0AEob;0AEDb;0;0.8
Qajce;0AjC8;0;0.2
Ocp;0C1p4;0;0.25
0cSn;0C57u;0;0.22
0B5Q;0B5By;0;0.67
0C191;0CI9Z;0;0.6
09p3;0Bp35;0;0.67
0Bo70;0B6tR;0;0.4
Q48828;0A82U;0;0.36
06v0m;0BoNP;0;0.2
0ANu6;0Anu6;0;0.8
Ci;0BiK9;0;0.29
BSeJ;0BSeJ;0;0.89
0AgVa;0AGv4;0;0.4
80Bs6;0B566;0;0.6
0Co9;0CO93;0;0.67
0M1;0A2p7;0;0.25
0vk;0CI7k;0;0.5
0859;0Bc59;0;0.67
0Alhk;0ALMK;0;0.4
0cB39;0CB39;0;0.8
Q;00CP2;0;0.0
oAnG63;0AmG6;0;0.55
00H9;00HF9;0;0.89
0081;00BA2;0;0.44
00q18;00GH9;0;0.4
0CoOF;0CD0F;0;0.6
OC1r6;0C1r6;0;0.8
0BII;0B09I;0;0.67
00e50;00e60;0;0.8
0aeGk;0AeGK;0;0.6
OB4Pm;0B4n2;0;0.4
00kSw;00H5w;0;0.6
0ASit;0A8Wt;0;0.6
0v0BI;00BgN;0;0.6
0bRZk;0BR7K;0;0.4
Odezv3;00eZ3;0;0.36
CQAQ;000AQ;0;0.44
0CQL8;0CQL8;1;1.0
Onyb;0Ay6i;0;0.22
01001;0B0m1;0;0.4
ONnUc;0Amuc;0;0.2
08136;0B73G;0;0.4
0MS2;0A45Z;0;0.22
0;0AvdU;0;0.33
QB3;00B03;0;0.5
0AJi0H;0A7i0;0;0.73
0Bo36;0B036;0;0.8
OBYmJ;0BYN3;0;0.4
0Bit9;0Bit9;1;1.0
0c39;0C390;0;0.67
06566;0C568;0;0.6
06PS;0CIPs;0;0.44
0AIW;0AILv;0;0.67
0C958;0C958;1;1.0
OQe2;0Bqe2;0;0.44
04657;0A657;0;0.8
0CiE;0C2iE;0;0.89
Q0bYs;00by5;0;0.4
0042;0A842;0;0.67
00F2Yj;00f77;0;0.36
OCA02X;0CD2x;0;0.36
00pE;000bE;0;0.67
Oofv;00fvF;0;0.44
QAad4;0Aad4;0;0.8
06;00Aog;0;0.29
Oa13;0A133;0;0.44
0BZ6S;0BZ65;0;0.8
QAf28;0Af28;0;0.8
0eY5;00EY5;0;0.67
03620;0B320;0;0.8
Ooek;00EDL;0;0.0
0BCR;0Bc1R;0;0.67
00401;00d01;0;0.8
0kbi;0AkgT;0;0.44
0ibR;00bI2;0;0.44
0b12;00b22;0;0.67
047t;0A7n3;0;0.44
Q1C2h;00c2n;0;0.2
00Kio;00fi0;0;0.6
00D95;00D95;1;1.0
0B493;0B493;1;1.0
04Jse;0AJse;0;0.8
