predict;correct;FullValType;LevensteinValType
;00cWp;0;0.0
;0AO39;0;0.0
"00jChCK
";00C3k;0;0.46
"00CC705
";0C7Z5;0;0.62
"0A6
";0AtK8;0;0.44
"00CC9y6
";0C967;0;0.62
"0B50
";0BS0j;0;0.6
;00GCL;0;0.0
"0CB710
";0B7la;0;0.5
"0ACAG8
";00b6D;0;0.17
"000B0
";00h9K;0;0.36
;00fm5;0;0.0
"0C98 0
";0C8e5;0;0.5
"0C1
";0C21J;0;0.67
;0C132;0;0.0
;0A563;0;0.0
;0Ay4K;0;0.0
"0Gn
";00H6r;0;0.22
"0By4557
";0B451;0;0.62
"00Ar660
";0AC60;0;0.62
"0AAM
";0A1tM;0;0.6
"00CCB0E
";0C5oE;0;0.46
"0Ba08y
";0B23s;0;0.33
"00E008
";00EOB;0;0.5
"0AA5
";0AN36;0;0.4
"00f00A0A1
";00D74;0;0.27
"0f
";0A0z9;0;0.25
"0BcG
";0BEGc;0;0.6
"00f6B79
";0Bb83;0;0.31
;00G87;0;0.0
"0BJ5
";0BtJj;0;0.6
"0AByyj
";0Bfav;0;0.33
"0B0n
";0B0nY;0;0.8
"00C9uu
";0C68u;0;0.5
;0Ar6x;0;0.0
"0B333f
";0B3nb;0;0.5
"00BB7178
";0B778;0;0.71
"0A74
";0AZdT;0;0.4
"0A436
";0A36L;0;0.73
"00II06B
";0AI06;0;0.62
"00A0f2
";0AQrz;0;0.33
"002 0
";00Bp0;0;0.55
"01mfB
";0CL13;0;0.36
"0AAGg8c
";0A98x;0;0.46
"0AvnAc
";00H7e;0;0.17
"00BBT1
";0B7T1;0;0.67
"0000
";0Ak27;0;0.2
"000 77
";00aB7;0;0.5
"00B3AL
";00Bzj;0;0.5
"C19
";0C879;0;0.44
"000pCB2
";00fo2;0;0.46
"0A0ACH
";00dcH;0;0.5
"0AB04B
";0Bef8;0;0.33
"0AC 0B21 0
";0C587;0;0.25
"Bgu56I
";0B43u;0;0.33
"0AICH
";00Bcw;0;0.18
"0A2L2
";0A722;0;0.73
"00 0A41
";0AJ41;0;0.62
"0Ad0G51
";00G51;0;0.77
"00Ad9Z
";0Ad9z;0;0.67
"00WED
";0AEDb;0;0.55
;0AjC8;0;0.0
"0CC401
";0C1p4;0;0.5
"00C4AMJ
";0C57u;0;0.31
"00B5
";0B5By;0;0.6
"00C39N
";0CI9Z;0;0.5
"0009
";0Bp35;0;0.2
;0B6tR;0;0.0
"0AAzbdu4
";0A82U;0;0.29
"0fj 0A
";0BoNP;0;0.17
"0A1U
";0Anu6;0;0.4
"0L
";0BiK9;0;0.25
"0EG6N8
";0BSeJ;0;0.17
"0AAAAf
";0AGv4;0;0.33
"00B66
";0B566;0;0.73
;0CO93;0;0.0
"00A1
";0A2p7;0;0.4
"0ACY2K
";0CI7k;0;0.33
"0AB39
";0Bc59;0;0.55
;0ALMK;0;0.0
"00CB35
";0CB39;0;0.67
;00CP2;0;0.0
"0A0CH 8
";0AmG6;0;0.31
"000A9
";00HF9;0;0.55
;00BA2;0;0.0
"0A00G63
";00GH9;0;0.46
"0C00x
";0CD0F;0;0.55
"00C07G
";0C1r6;0;0.33
"00AEj9I
";0B09I;0;0.62
"00A006Tu
";00e60;0;0.43
"0AAq
";0AeGK;0;0.4
"00fB54
";0B4n2;0;0.5
"0000AA4Hy
";00H5w;0;0.4
"0A8gA7z
";0A8Wt;0;0.46
"00BGN
";00BgN;0;0.73
"0BR7MK
";0BR7K;0;0.83
"000B7
";00eZ3;0;0.36
;000AQ;0;0.0
"00CUL
";0CQL8;0;0.55
"0Ayd
";0Ay6i;0;0.6
"00C
";0B0m1;0;0.44
"0AUC
";0Amuc;0;0.4
"0CABBI0
";0B73G;0;0.31
;0A45Z;0;0.0
"00Av 0
";0AvdU;0;0.5
"0CImB00333
";00B03;0;0.5
"0L
";0A7i0;0;0.25
"00AG030
";0B036;0;0.46
"0B5jA3
";0BYN3;0;0.5
"00Bj9
";0Bit9;0;0.55
"00CC390
";0C390;0;0.77
"00fC5668
";0C568;0;0.71
;0CIPs;0;0.0
"0AAU
";0AILv;0;0.4
"0C00uqE5
";0C958;0;0.43
;0Bqe2;0;0.0
"00A4067
";0A657;0;0.62
"00CE
";0C2iE;0;0.6
"000J0g
";00by5;0;0.33
"A0AGL
";0A842;0;0.36
;00f77;0;0.0
"00C0002
";0CD2x;0;0.46
"0A0j0E
";000bE;0;0.67
"000KR
";00fvF;0;0.36
"0CC
";0Aad4;0;0.22
"0C0y9
";00Aog;0;0.36
"00v433 0C
";0A133;0;0.4
"0A00053
";0BZ65;0;0.31
"00AI8
";0Af28;0;0.55
"0C0K
";00EY5;0;0.4
;0B320;0;0.0
"0AJAA8
";00EDL;0;0.17
"00BCfR
";0Bc1R;0;0.5
"00007T
";00d01;0;0.5
"0AA8N
";0AkgT;0;0.36
;00bI2;0;0.0
;00b22;0;0.0
"00AJN7
";0A7n3;0;0.5
"0Q0mCCL3
";00c2n;0;0.29
"00i0 0B0 0C
";00fi0;0;0.47
"0A00L093
";00D95;0;0.43
"0BLE
";0B493;0;0.4
"0AA 5
";0AJse;0;0.36
