predict;correct;FullValType;LevensteinValType
;00cWp;0;0.0
;0AO39;0;0.0
"00yChCIK
";00C3k;0;0.43
"00C725
";0C7Z5;0;0.67
"0ABE
";0AtK8;0;0.4
"00C967
";0C967;0;0.83
"0Bb50j
";0BS0j;0;0.67
;00GCL;0;0.0
"0B1a
";0B7la;0;0.6
"0ACA9G00
";00b6D;0;0.29
"000d
";00h9K;0;0.4
;00fm5;0;0.0
"0DB8 0
";0C8e5;0;0.33
"0C21y8
";0C21J;0;0.67
;0C132;0;0.0
;0A563;0;0.0
;0Ay4K;0;0.0
"00fC0KBnr
";00H6r;0;0.4
"0By4557
";0B451;0;0.62
"00AC600
";0AC60;0;0.77
"0A77LIM
";0A1tM;0;0.46
"00C0B0E
";0C5oE;0;0.46
"0B22L332
";0B23s;0;0.57
"0000BE0p8
";00EOB;0;0.4
"00AN5p
";0AN36;0;0.5
"00f00KA4
";00D74;0;0.43
"00A02m9
";0A0z9;0;0.62
"0Bc
";0BEGc;0;0.67
"0040BA
";0Bb83;0;0.33
;00G87;0;0.0
"0BYLJj3
";0BtJj;0;0.62
"0AByyaav
";0Bfav;0;0.57
"0B0ne
";0B0nY;0;0.73
"00C9NU
";0C68u;0;0.33
;0Ar6x;0;0.0
"0BB32fm
";0B3nb;0;0.46
"0BBY17E
";0B778;0;0.46
"AT
";0AZdT;0;0.5
"0Ay36L
";0A36L;0;0.83
"00JI06
";0AI06;0;0.67
"00A0ff2
";0AQrz;0;0.31
"0 080 0
";00Bp0;0;0.46
"07fB
";0CL13;0;0.2
"000kKA
";0A98x;0;0.33
"0ALATED
";00H7e;0;0.15
"00BBAT1
";0B7T1;0;0.62
"00I0
";0Ak27;0;0.2
"00047
";00aB7;0;0.55
"00BBALA
";00Bzj;0;0.46
"CB1Y
";0C879;0;0.2
"0p 2
";00fo2;0;0.4
"0A0A4C
";00dcH;0;0.33
"00B80B
";0Bef8;0;0.5
"0AC 0827 2
";0C587;0;0.5
"TCA0xNN
";0B43u;0;0.15
"0ACI0CH
";00Bcw;0;0.31
"0AJ22
";0A722;0;0.73
"00 0b41
";0AJ41;0;0.46
"0A6851
";00G51;0;0.5
"00AdQJ
";0Ad9z;0;0.5
"0NEDRN
";0AEDb;0;0.5
;0AjC8;0;0.0
"0Cf008
";0C1p4;0;0.33
"0C8NMJ
";0C57u;0;0.33
"0B25L
";0B5By;0;0.55
"00C89
";0CI9Z;0;0.55
"0BbuAH
";0Bp35;0;0.33
;0B6tR;0;0.0
"0AZD
";0A82U;0;0.4
"0f0 0A
";0BoNP;0;0.17
"00A0
";0Anu6;0;0.4
"0B0999
";0BiK9;0;0.5
"E663
";0BSeJ;0;0.0
"00AA/
";0AGv4;0;0.36
"003b69
";0B566;0;0.33
;0CO93;0;0.0
"00A
";0A2p7;0;0.44
"0AC7A27K
";0CI7k;0;0.43
"0AB99
";0Bc59;0;0.55
;0ALMK;0;0.0
"0LC
";0CB39;0;0.44
;00CP2;0;0.0
"0A0C9 f
";0AmG6;0;0.31
"00E9
";00HF9;0;0.6
;00BA2;0;0.0
"000C87
";00GH9;0;0.33
"0C0KKk
";0CD0F;0;0.5
"0CL7G
";0C1r6;0;0.36
"00I
";0B09I;0;0.67
"0000E6n
";00e60;0;0.46
"0AyBG
";0AeGK;0;0.55
"0fGG40N
";0B4n2;0;0.31
"000CUmb
";00H5w;0;0.31
"0A8gn
";0A8Wt;0;0.55
"0ABAGN
";00BgN;0;0.5
"0BBR7K
";0BR7K;0;0.83
"0A023
";00eZ3;0;0.55
;000AQ;0;0.0
"0LCqULG
";0CQL8;0;0.31
"0AAyOd
";0Ay6i;0;0.5
"0mN
";0B0m1;0;0.44
"0AmiJAcC
";0Amuc;0;0.57
"0C0BBHIc
";0B73G;0;0.29
;0A45Z;0;0.0
"00Avm 0
";0AvdU;0;0.46
"0COmB03329
";00B03;0;0.5
"0TJIL0
";0A7i0;0;0.33
"000030
";0B036;0;0.5
"0B2jAd
";0BYN3;0;0.33
"00BkL9
";0Bit9;0;0.5
"0C390
";0C390;0;0.91
"00fC568
";0C568;0;0.77
;0CIPs;0;0.0
"00AJ44
";0AILv;0;0.33
"0C858
";0C958;0;0.73
;0Bqe2;0;0.0
"00A40657
";0A657;0;0.71
"0CE
";0C2iE;0;0.67
"000J0)v/5
";00by5;0;0.4
"0A0AdQH
";0A842;0;0.31
;00f77;0;0.0
"0C002
";0CD2x;0;0.55
"0A00K
";000bE;0;0.36
"000fFKNR
";00fvF;0;0.57
"0ABN
";0Aad4;0;0.4
"0C00
";00Aog;0;0.4
"00433 0C
";0A133;0;0.43
"0bKa23
";0BZ65;0;0.17
"CAL
";0Af28;0;0.22
"0C0KT
";00EY5;0;0.36
;0B320;0;0.0
"0j0L
";00EDL;0;0.6
"00BC7R
";0Bc1R;0;0.5
"00CQm07T
";00d01;0;0.43
"CAT
";0AkgT;0;0.44
;00bI2;0;0.0
;00b22;0;0.0
"00AJv
";0A7n3;0;0.36
"000mCcLA6
";00c2n;0;0.4
"00i A0 0C
";00fi0;0;0.53
"0A000J9g
";00D95;0;0.43
"00B74g7
";0B493;0;0.46
"0A4 J6e
";0AJse;0;0.62
