predict;correct;FullValType;LevensteinValType
"0C0CHp
";00cWp;0;0.5
;0AO39;0;0.0
;00C3k;0;0.0
"00CC72c5
";0C7Z5;0;0.57
;0AtK8;0;0.0
;0C967;0;0.0
;0BS0j;0;0.0
;00GCL;0;0.0
"f 0B77LE
";0B7la;0;0.43
;00b6D;0;0.0
"000E0K
";00h9K;0;0.5
;00fm5;0;0.0
"0CB0G
";0C8e5;0;0.36
;0C21J;0;0.0
;0C132;0;0.0
;0A563;0;0.0
;0Ay4K;0;0.0
"00Q00NGK
";00H6r;0;0.29
;0B451;0;0.0
;0AC60;0;0.0
;0A1tM;0;0.0
"00C0L
";0C5oE;0;0.36
"0C338
";0B23s;0;0.36
;00EOB;0;0.0
;0AN36;0;0.0
;00D74;0;0.0
;0A0z9;0;0.0
"0BBbb0iGKLii
";0BEGc;0;0.33
"0BBABL8
";0Bb83;0;0.46
;00G87;0;0.0
;0BtJj;0;0.0
;0Bfav;0;0.0
;0B0nY;0;0.0
;0C68u;0;0.0
;0Ar6x;0;0.0
;0B3nb;0;0.0
"LBB717 00
";0B778;0;0.4
"AT
";0AZdT;0;0.5
;0A36L;0;0.0
;0AI06;0;0.0
;0AQrz;0;0.0
;00Bp0;0;0.0
;0CL13;0;0.0
"00pQ8K
";0A98x;0;0.33
;00H7e;0;0.0
;0B7T1;0;0.0
"00J0
";0Ak27;0;0.2
;00aB7;0;0.0
;00Bzj;0;0.0
"0Ag 07
";0C879;0;0.33
"00LCvA
";00fo2;0;0.33
;00dcH;0;0.0
"0C272k
";0Bef8;0;0.17
"00C 087 e
";0C587;0;0.53
"00CAYN
";0B43u;0;0.17
;00Bcw;0;0.0
;0A722;0;0.0
"000bvJ4q
";0AJ41;0;0.43
"00BG61
";00G51;0;0.67
;0Ad9z;0;0.0
"0NEDKR
";0AEDb;0;0.5
;0AjC8;0;0.0
"0Cjj2
";0C1p4;0;0.36
;0C57u;0;0.0
"00BGkYy
";0B5By;0;0.46
"00C30
";0CI9Z;0;0.36
"0 0BE
";0Bp35;0;0.36
;0B6tR;0;0.0
"0CAYD
";0A82U;0;0.36
;0BoNP;0;0.0
"bg
";0Anu6;0;0.0
;0BiK9;0;0.0
;0BSeJ;0;0.0
"00 AA 00N3
";0AGv4;0;0.25
;0B566;0;0.0
;0CO93;0;0.0
;0A2p7;0;0.0
;0CI7k;0;0.0
;0Bc59;0;0.0
;0ALMK;0;0.0
;0CB39;0;0.0
;00CP2;0;0.0
"0AvcCo92
";0AmG6;0;0.29
;00HF9;0;0.0
;00BA2;0;0.0
;00GH9;0;0.0
;0CD0F;0;0.0
;0C1r6;0;0.0
;0B09I;0;0.0
;00e60;0;0.0
"0AAecK
";0AeGK;0;0.67
;0B4n2;0;0.0
;00H5w;0;0.0
"0Atv2
";0A8Wt;0;0.55
;00BgN;0;0.0
"COBR7KE
";0BR7K;0;0.62
"000GZZ73
";00eZ3;0;0.57
;000AQ;0;0.0
;0CQL8;0;0.0
"0by6J
";0Ay6i;0;0.55
;0B0m1;0;0.0
"0AmiYc
";0Amuc;0;0.67
"0 0Bf396
";0B73G;0;0.43
;0A45Z;0;0.0
"00AvL 00
";0AvdU;0;0.43
"0CImB03332
";00B03;0;0.5
;0A7i0;0;0.0
;0B036;0;0.0
"0B23A
";0BYN3;0;0.55
"0j 00
";0Bit9;0;0.18
;0C390;0;0.0
"00B8
";0C568;0;0.4
"00if 0Af95
";0CIPs;0;0.12
"00AL2LK
";0AILv;0;0.46
;0C958;0;0.0
;0Bqe2;0;0.0
;0A657;0;0.0
;0C2iE;0;0.0
"000290bf5
";00by5;0;0.53
;0A842;0;0.0
;00f77;0;0.0
;0CD2x;0;0.0
;000bE;0;0.0
"0C0bNnLR
";00fvF;0;0.29
;0Aad4;0;0.0
;00Aog;0;0.0
;0A133;0;0.0
;0BZ65;0;0.0
;0Af28;0;0.0
"00f 09
";00EY5;0;0.33
;0B320;0;0.0
;00EDL;0;0.0
"0ABCR2
";0Bc1R;0;0.5
"0000A07
";00d01;0;0.46
;0AkgT;0;0.0
;00bI2;0;0.0
;00b22;0;0.0
;0A7n3;0;0.0
"000C2Lf777
";00c2n;0;0.38
"0030060
";00fi0;0;0.46
;00D95;0;0.0
"00B5AQ3
";0B493;0;0.46
"0ALdG3
";0AJse;0;0.33
