predict;correct;FullValType;LevensteinValType
"0073033
";00cWp;0;0.31
;0AO39;0;0.0
;00C3k;0;0.0
"00730003
";0C7Z5;0;0.29
;0AtK8;0;0.0
;0C967;0;0.0
;0BS0j;0;0.0
;00GCL;0;0.0
"3 00730033
";0B7la;0;0.25
;00b6D;0;0.0
"0073033
";00h9K;0;0.31
;00fm5;0;0.0
"00730033
";0C8e5;0;0.14
;0C21J;0;0.0
;0C132;0;0.0
;0A563;0;0.0
;0Ay4K;0;0.0
"00730000033
";00H6r;0;0.24
;0B451;0;0.0
;0AC60;0;0.0
;0A1tM;0;0.0
"00730000333
";0C5oE;0;0.12
"00730030
";0B23s;0;0.29
;00EOB;0;0.0
;0AN36;0;0.0
;00D74;0;0.0
;0A0z9;0;0.0
"0073000033
";0BEGc;0;0.12
"007300033
";0Bb83;0;0.27
;00G87;0;0.0
;0BtJj;0;0.0
;0Bfav;0;0.0
;0B0nY;0;0.0
;0C68u;0;0.0
;0Ar6x;0;0.0
;0B3nb;0;0.0
"0073030 0073
";0B778;0;0.33
"0073033
";0AZdT;0;0.15
;0A36L;0;0.0
;0AI06;0;0.0
;0AQrz;0;0.0
;00Bp0;0;0.0
;0CL13;0;0.0
"007300033
";0A98x;0;0.13
;00H7e;0;0.0
;0B7T1;0;0.0
"00730003
";0Ak27;0;0.29
;00aB7;0;0.0
;00Bzj;0;0.0
"0073333 03
";0C879;0;0.25
"0073033
";00fo2;0;0.31
;00dcH;0;0.0
"0073003
";0Bef8;0;0.15
"0073 0073 3
";0C587;0;0.24
"00730003
";0B43u;0;0.29
;00Bcw;0;0.0
;0A722;0;0.0
"00730033 0
";0AJ41;0;0.12
"0073030
";00G51;0;0.31
;0Ad9z;0;0.0
"007300033
";0AEDb;0;0.13
;0AjC8;0;0.0
"0073033 00
";0C1p4;0;0.12
;0C57u;0;0.0
"0073033
";0B5By;0;0.15
"0073003
";0CI9Z;0;0.15
"003 00733
";0Bp35;0;0.27
;0B6tR;0;0.0
"0073003
";0A82U;0;0.15
;0BoNP;0;0.0
"0073030
";0Anu6;0;0.15
;0BiK9;0;0.0
;0BSeJ;0;0.0
"000 003 0073333
";0AGv4;0;0.1
;0B566;0;0.0
;0CO93;0;0.0
;0A2p7;0;0.0
;0CI7k;0;0.0
;0Bc59;0;0.0
;0ALMK;0;0.0
;0CB39;0;0.0
;00CP2;0;0.0
"0073030
";0AmG6;0;0.15
;00HF9;0;0.0
;00BA2;0;0.0
;00GH9;0;0.0
;0CD0F;0;0.0
;0C1r6;0;0.0
;0B09I;0;0.0
;00e60;0;0.0
"0073033
";0AeGK;0;0.15
;0B4n2;0;0.0
;00H5w;0;0.0
"0073003
";0A8Wt;0;0.15
;00BgN;0;0.0
"00730000003
";0BR7K;0;0.24
"0073030
";00eZ3;0;0.46
;000AQ;0;0.0
;0CQL8;0;0.0
"007300033
";0Ay6i;0;0.13
;0B0m1;0;0.0
"00730033
";0Amuc;0;0.14
"3 0073033
";0B73G;0;0.4
;0A45Z;0;0.0
"0073033 000
";0AvdU;0;0.12
"00730030
";00B03;0;0.57
;0A7i0;0;0.0
;0B036;0;0.0
"00730030
";0BYN3;0;0.29
"0073 03 3
";0Bit9;0;0.13
;0C390;0;0.0
"0073030
";0C568;0;0.15
"00733 00733
";0CIPs;0;0.12
"0073033
";0AILv;0;0.15
;0C958;0;0.0
;0Bqe2;0;0.0
;0A657;0;0.0
;0C2iE;0;0.0
"0073033
";00by5;0;0.31
;0A842;0;0.0
;00f77;0;0.0
;0CD2x;0;0.0
;000bE;0;0.0
"00730030
";00fvF;0;0.29
;0Aad4;0;0.0
;00Aog;0;0.0
;0A133;0;0.0
;0BZ65;0;0.0
;0Af28;0;0.0
"0073 007363
";00EY5;0;0.24
;0B320;0;0.0
;00EDL;0;0.0
"0073003
";0Bc1R;0;0.15
"007300033
";00d01;0;0.4
;0AkgT;0;0.0
;00bI2;0;0.0
;00b22;0;0.0
;0A7n3;0;0.0
"0073033
";00c2n;0;0.31
"00730000333
";00fi0;0;0.35
;00D95;0;0.0
"0073033
";0B493;0;0.31
"00730033
";0AJse;0;0.14
