predict;correct;FullValType;LevensteinValType
"po
";00cWp;0;0.25
"I,

as
";0AO39;0;0.0
"0s, -
";00C3k;0;0.18
"poo
";0C7Z5;0;0.0
"on g.
";0AtK8;0;0.0
"Te ‘
";0C967;0;0.0
"OBS 2
";0BS0j;0;0.36
"poet
";00GCL;0;0.0
"he 2
";0B7la;0;0.0
"0
";00b6D;0;0.29
"yo iy ;
";00h9K;0;0.0
"ee
";00fm5;0;0.0
"‘dees
";0C8e5;0;0.18
"ve
";0C21J;0;0.0
"Ae
";0C132;0;0.0
"a 9 |
";0A563;0;0.0
"Pe
";0Ay4K;0;0.0
"0 QKer
";00H6r;0;0.33
"tS 7
";0B451;0;0.0
"ee
";0AC60;0;0.0
"7 by

|
";0A1tM;0;0.0
"Yc sae
";0C5oE;0;0.0
"oa
";0B23s;0;0.0
"—

by
";00EOB;0;0.0
"DANS 5
";0AN36;0;0.33
"000m
";00D74;0;0.4
"Nae
";0A0z9;0;0.0
"a
";0BEGc;0;0.0
"69,
";0Bb83;0;0.0
"i
";00G87;0;0.0
"05 : Eg |
";0BtJj;0;0.13
"boo

=.
";0Bfav;0;0.0
"Po
";0B0nY;0;0.0
"|
";0C68u;0;0.0
"aa
";0Ar6x;0;0.0
"m
";0B3nb;0;0.0
"ave
";0B778;0;0.0
"Lo
";0AZdT;0;0.0
"ey
";0A36L;0;0.0
"ONO 6
";0AI06;0;0.18
"Ons
|
";0AQrz;0;0.0
"po
";00Bp0;0;0.25
"00
";0CL13;0;0.25
"Q 198 x :
";0A98x;0;0.4
"pore
";00H7e;0;0.2
"OB AT
";0B7T1;0;0.36
"|
";0Ak27;0;0.0
"oo
May
";00aB7;0;0.17
"f 0;
";00Bzj;0;0.2
"5, o.
";0C879;0;0.0
"par &
";00fo2;0;0.0
"Me,
";00dcH;0;0.0
"ye
";0Bef8;0;0.25
"Ne iy
";0C587;0;0.0
"teh,
";0B43u;0;0.0
"on
";00Bcw;0;0.0
"WW : |
";0A722;0;0.0
"ovat
";0AJ41;0;0.0
"sais 1
";00G51;0;0.17
"7
";0Ad9z;0;0.0
"By
";0AEDb;0;0.0
"po
";0AjC8;0;0.0
"hop «
";0C1p4;0;0.18
"boy.
";0C57u;0;0.0
"base
";0B5By;0;0.0
"L i,
fan
";0CI9Z;0;0.0
"irs
";0Bp35;0;0.0
"Pe
";0B6tR;0;0.0
"cy
";0A82U;0;0.0
"6 0 A
";0BoNP;0;0.18
"poo
";0Anu6;0;0.0
"we
";0BiK9;0;0.0
"as 8)
";0BSeJ;0;0.0
"~~
be m
";0AGv4;0;0.0
"B85.
";0B566;0;0.4
"Neon
";0CO93;0;0.0
"a
";0A2p7;0;0.0
"Ok
";0CI7k;0;0.25
"qe?
";0Bc59;0;0.0
"pe
";0ALMK;0;0.0
"res
";0CB39;0;0.0
"po
|
";00CP2;0;0.0
"i 5.
";0AmG6;0;0.0
"ga?
";00HF9;0;0.0
"1
";00BA2;0;0.0
"[oo
";00GH9;0;0.0
"pa
";0CD0F;0;0.0
"care
";0C1r6;0;0.2
"2a
";0B09I;0;0.0
"a9
";00e60;0;0.0
"24 g «
";0AeGK;0;0.0
"084m
";0B4n2;0;0.4
"4) Oh 54
";00H5w;0;0.14
"ee
";0A8Wt;0;0.0
"f

8 &
";00BgN;0;0.0
"OBR 7K
";0BR7K;0;0.67
"Oe :
";00eZ3;0;0.2
"ra
";000AQ;0;0.0
"bets
";0CQL8;0;0.0
"‘ay,
";0Ay6i;0;0.2
"a
Ms
";0B0m1;0;0.0
"on
";0Amuc;0;0.0
"gee
";0B73G;0;0.0
"—~
";0A45Z;0;0.0
"ones
";0AvdU;0;0.0
"Bo 3°
";00B03;0;0.36
"grid
";0A7i0;0;0.2
"f

$03 6
";0B036;0;0.43
"aye
";0BYN3;0;0.0
"po
";0Bit9;0;0.0
"Me so -
";0C390;0;0.0
"0668
";0C568;0;0.6
"roa
";0CIPs;0;0.0
"yal :
";0AILv;0;0.0
"_
om
";0C958;0;0.0
"m2
";0Bqe2;0;0.25
"M65
";0A657;0;0.44
"bce
";0C2iE;0;0.0
"ys
";00by5;0;0.25
"2, 7
A
";0A842;0;0.17
"bee
";00f77;0;0.0
"com
";0CD2x;0;0.0
"Doe
";000bE;0;0.0
"ow _
";00fvF;0;0.0
"f oo
Otay 5 -
";0Aad4;0;0.11
"h Og.
";00Aog;0;0.18
"~S -
";0A133;0;0.0
"ra
";0BZ65;0;0.0
"M4 ry |
";0Af28;0;0.0
"ere
";00EY5;0;0.0
"20
";0B320;0;0.5
"ak
";00EDL;0;0.0
"q we
";0Bc1R;0;0.0
"0. od0 1.
";00d01;0;0.53
"gre)
";0AkgT;0;0.2
"|
";00bI2;0;0.0
"25
";00b22;0;0.25
"bon
";0A7n3;0;0.22
"WN py
";00c2n;0;0.0
"00 0.
";00fi0;0;0.55
"po
";00D95;0;0.0
"°F 49,
";0B493;0;0.33
"Oh, -
";0AJse;0;0.0
