predict;correct;FullValType;LevensteinValType
ci8e;0CI9Z;0;0.0
;0C390;0;0.0
;0AO39;0;0.0
;0Ad9z;0;0.0
eveere;0B778;0;0.0
;0Amuc;0;0.0
NCGg;0B73G;0;0.22
;0Af28;0;0.0
;00C3k;0;0.0
;0CD2x;0;0.0
ws;0BS0j;0;0.0
;00CP2;0;0.0
OR;0Bc1R;0;0.29
;0CIPs;0;0.0
ltee;0Bef8;0;0.22
;0A82U;0;0.0
;0Ay4K;0;0.0
;0Bef8;0;0.0
oe7;0C958;0;0.0
;00CP2;0;0.0
cAre;0C1r6;0;0.22
;00h9K;0;0.0
;0B320;0;0.0
;00BA2;0;0.0
bY;00by5;0;0.29
;0Bfav;0;0.0
;00h9K;0;0.0
;0B6tR;0;0.0
;0C967;0;0.0
otepo;000bE;0;0.0
poo;0C7Z5;0;0.0
;00Aog;0;0.0
;0BSeJ;0;0.0
bese;0A36L;0;0.0
;0C967;0;0.0
;0C8e5;0;0.0
;00GH9;0;0.0
oNei;0Ay6i;0;0.22
Rus;00Bzj;0;0.0
ORR;0Bc1R;0;0.25
ghml;0B7T1;0;0.0
;0A0z9;0;0.0
;0AO39;0;0.0
;0Bqe2;0;0.0
pri;0A7i0;0;0.25
byv;0A133;0;0.0
;0C1p4;0;0.0
;0AZdT;0;0.0
hove;00EOB;0;0.0
;0A0z9;0;0.0
;0A0z9;0;0.0
;00CP2;0;0.0
5sn;0C57u;0;0.25
;0BZ65;0;0.0
;0A98x;0;0.0
;00fm5;0;0.0
;00bI2;0;0.0
;0C8e5;0;0.0
0Oy;000bE;0;0.25
;0Bp35;0;0.0
;00GH9;0;0.0
DOse;00EOB;0;0.22
;0C132;0;0.0
;0AILv;0;0.0
;0B23s;0;0.0
;0Amuc;0;0.0
20;0B320;0;0.57
;0B23s;0;0.0
;0A82U;0;0.0
hoeA;00dcH;0;0.0
;0B4n2;0;0.0
;00EOB;0;0.0
iR;00fvF;0;0.0
;0BYN3;0;0.0
bery;0C21J;0;0.0
;0C8e5;0;0.0
;0Aad4;0;0.0
an;00by5;0;0.0
;0AC60;0;0.0
;00D95;0;0.0
;0C132;0;0.0
gum;00b6D;0;0.0
;00bI2;0;0.0
;0A563;0;0.0
hak;00GCL;0;0.0
04N3b;0AN36;0;0.6
;00BA2;0;0.0
;00CP2;0;0.0
0hiv;0AvdU;0;0.44
Lone;00H7e;0;0.22
;0B7la;0;0.0
by;0Bc1R;0;0.0
;0A722;0;0.0
NSoP;0CO93;0;0.0
;0B0m1;0;0.0
f;0AN36;0;0.0
;00B03;0;0.0
oF;00fvF;0;0.29
Po;0Ak27;0;0.0
;00Bcw;0;0.0
;0B6tR;0;0.0
;00C3k;0;0.0
pee;00f77;0;0.0
90339;0CB39;0;0.6
;00bI2;0;0.0
yB;0B493;0;0.29
0K;00C3k;0;0.29
;0A0z9;0;0.0
poC191;0CI9Z;0;0.36
;0C390;0;0.0
;0B23s;0;0.0
;0AkgT;0;0.0
;0Bfav;0;0.0
;0AeGK;0;0.0
;00HF9;0;0.0
;0AmG6;0;0.0
are;0AILv;0;0.0
;00aB7;0;0.0
;00fvF;0;0.0
08thy;0BtJj;0;0.4
;0B6tR;0;0.0
;00C3k;0;0.0
00K9;00HF9;0;0.67
po0Are;0Af28;0;0.36
;0AJse;0;0.0
;0C132;0;0.0
Te1;0C21J;0;0.25
;00GH9;0;0.0
OBR7K;0BR7K;0;0.8
;0Aad4;0;0.0
one;0B7la;0;0.0
;0A842;0;0.0
;0A7n3;0;0.0
;0Bef8;0;0.0
govt;000bE;0;0.0
Oowy;00HF9;0;0.0
;0Anu6;0;0.0
;0CI7k;0;0.0
;0C879;0;0.0
;0Ar6x;0;0.0
;0C8e5;0;0.0
Le;00fo2;0;0.0
;0B43u;0;0.0
;0BZ65;0;0.0
Osyy;0AJ41;0;0.0
;00B03;0;0.0
;00B03;0;0.0
byne;0BYN3;0;0.0
ae;00bI2;0;0.0
451;0B451;0;0.75
F21or;0C21J;0;0.4
weet;0AkgT;0;0.0
;0BiK9;0;0.0
poo;0Anu6;0;0.0
;00EY5;0;0.0
;0AkgT;0;0.0
;00Bcw;0;0.0
;00eZ3;0;0.0
;0BS0j;0;0.0
;0AeGK;0;0.0
;000AQ;0;0.0
;00c2n;0;0.0
;00GH9;0;0.0
QR;0Bc1R;0;0.29
;0AJ41;0;0.0
;00Bzj;0;0.0
ge;0BiK9;0;0.0
;0C2iE;0;0.0
085;0Bc59;0;0.5
mey;00EY5;0;0.0
TAD;0A7i0;0;0.25
i;0C8e5;0;0.0
TAIy;0A7i0;0;0.22
1885;0A98x;0;0.22
;00fo2;0;0.0
;0C7Z5;0;0.0
gra;0Af28;0;0.0
yoiy;00h9K;0;0.0
0B183;0B493;0;0.6
;0Bfav;0;0.0
;0C967;0;0.0
;0Bfav;0;0.0
