predict;correct;FullValType;LevensteinValType
0GP;00cWp;0;0.25
;0AO39;0;0.0
;00C3k;0;0.0
OCIS;0C7Z5;0;0.22
Ontke;0AtK8;0;0.2
;0C967;0;0.0
QBs07;0BS0j;0;0.4
;00GCL;0;0.0
;0B7la;0;0.0
;00b6D;0;0.0
;00h9K;0;0.0
;00fm5;0;0.0
;0C8e5;0;0.0
;0C21J;0;0.0
;0C132;0;0.0
;0A563;0;0.0
;0Ay4K;0;0.0
0QHEr;00H6r;0;0.6
;0B451;0;0.0
;0AC60;0;0.0
;0A1tM;0;0.0
QCSOE;0C5oE;0;0.4
Bas;0B23s;0;0.5
;00EOB;0;0.0
;0AN36;0;0.0
;00D74;0;0.0
0100;0A0z9;0;0.44
OBEGC;0BEGc;0;0.6
8689;0Bb83;0;0.22
;00G87;0;0.0
;0BtJj;0;0.0
;0Bfav;0;0.0
;0B0nY;0;0.0
;0C68u;0;0.0
;0Ar6x;0;0.0
;0B3nb;0;0.0
;0B778;0;0.0
;0AZdT;0;0.0
;0A36L;0;0.0
;0AI06;0;0.0
;0AQrz;0;0.0
;00Bp0;0;0.0
;0CL13;0;0.0
0198;0A98x;0;0.67
;00H7e;0;0.0
OBAT;0B7T1;0;0.44
;0Ak27;0;0.0
10491;00aB7;0;0.2
ORI;00Bzj;0;0.0
C849;0C879;0;0.67
00;00fo2;0;0.57
;00dcH;0;0.0
;0Bef8;0;0.0
0581;0C587;0;0.67
VOADU;0B43u;0;0.0
;00Bcw;0;0.0
;0A722;0;0.0
OeM7;0AJ41;0;0.0
0065;00G51;0;0.67
;0Ad9z;0;0.0
OnBD;0AEDb;0;0.22
;0AjC8;0;0.0
Oca7;0C1p4;0;0.0
;0C57u;0;0.0
085a;0B5By;0;0.44
OCS94;0CI9Z;0;0.4
08Ce;0Bp35;0;0.22
;0B6tR;0;0.0
;0A82U;0;0.0
;0BoNP;0;0.0
;0Anu6;0;0.0
;0BiK9;0;0.0
;0BSeJ;0;0.0
;0AGv4;0;0.0
;0B566;0;0.0
;0CO93;0;0.0
;0A2p7;0;0.0
K;0CI7k;0;0.0
;0Bc59;0;0.0
;0ALMK;0;0.0
;0CB39;0;0.0
;00CP2;0;0.0
Mi;0AmG6;0;0.0
;00HF9;0;0.0
;00BA2;0;0.0
;00GH9;0;0.0
;0CD0F;0;0.0
;0C1r6;0;0.0
;0B09I;0;0.0
;00e60;0;0.0
DACaK;0AeGK;0;0.4
;0B4n2;0;0.0
;00H5w;0;0.0
vs;0A8Wt;0;0.0
;00BgN;0;0.0
OBRIK;0BR7K;0;0.6
0023;00eZ3;0;0.67
;000AQ;0;0.0
;0CQL8;0;0.0
ae;0Ay6i;0;0.0
;0B0m1;0;0.0
one;0Amuc;0;0.0
0BBG;0B73G;0;0.67
;0A45Z;0;0.0
Oney;0AvdU;0;0.0
wwe;00B03;0;0.0
;0A7i0;0;0.0
;0B036;0;0.0
opYA;0BYN3;0;0.22
0B9;0Bit9;0;0.75
;0C390;0;0.0
0668;0C568;0;0.67
ay4p;0CIPs;0;0.0
DAL;0AILv;0;0.5
;0C958;0;0.0
;0Bqe2;0;0.0
;0A657;0;0.0
;0C2iE;0;0.0
00V5;00by5;0;0.67
;0A842;0;0.0
;00f77;0;0.0
;0CD2x;0;0.0
;000bE;0;0.0
woe;00fvF;0;0.0
;0Aad4;0;0.0
;00Aog;0;0.0
;0A133;0;0.0
;0BZ65;0;0.0
;0Af28;0;0.0
0yo;00EY5;0;0.25
;0B320;0;0.0
;00EDL;0;0.0
0k;0Bc1R;0;0.29
;00d01;0;0.0
;0AkgT;0;0.0
;00bI2;0;0.0
;00b22;0;0.0
;0A7n3;0;0.0
wo;00c2n;0;0.0
00Ki;00fi0;0;0.67
0009;00D95;0;0.67
OBaset;0B493;0;0.18
Ose;0AJse;0;0.5
